Typ;Grundform/Lemma;Wortstamm;Bedarfsbereiche/Warenbedarf;Untergruppe;Bedeutung;Literatur;Bibliographie
spezialisierter Händlerbegriff;diatretarius;diatretari;Wohn- und Ausstattungsbedarf;Gläser;Händler und/ oder Hersteller mit Diatretgläsern;Wissemann 1984;
spezialisierter Händlerbegriff;diffusor;diffusor;Lebensmittelbedarf;Öl;Ölverteiler/-händler, Fernhändler von Öl;Schlippschuh 1974;
spezialisierter Händlerbegriff;dogarius;dogari;Wohn- und Ausstattungsbedarf;Gefäße;Händler und/ oder Hersteller mit Gefäßen;Wissemann 1984;
spezialisierter Händlerbegriff;dolearius;doleari;Wohn- und Ausstattungsbedarf;Fässer;Händler und/ oder Hersteller mit Fässern;Wissemann 1984;
spezialisierter Händlerbegriff;eborarius;eborari;Schmuck- und Zierbedarf;Elfenbein;Händler und oder Hersteller mit Gegenständen aus Elfenbein;Wissemann 1984;
spezialisierter Händlerbegriff;fabaria;fabaria;Lebensmittelbedarf;Bohnen;Bohnenhändlerin;Wissemann 1984;
spezialisierter Händlerbegriff;fenarius;fenari;Arbeits- und Betriebsmittelbedarf;Heu;Heuhändler;Wissemann 1984;
spezialisierter Händlerbegriff;fenivenditor;fenivenditor;Arbeits- und Betriebsmittelbedarf;Heu;Heuhändler;Wissemann 1984;
spezialisierter Händlerbegriff;ferramentarius;ferramentari;Arbeits- und Betriebsmittelbedarf;Werkzeuge;Händler und/oder Hersteller mit Eisenwerkzeuge;Wissemann 1984;
spezialisierter Händlerbegriff;ficarius;ficari;Lebensmittelbedarf;Feigen;Feigenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;flaturariae sigillariae;flaturari sigillari;Wohn- und Ausstattungsbedarf;Metallwaren, Geschirr ;Händler für Metallwaren/Trinkgeschirr sowie Tonwaren und Statuetten aus Metall;Schlippschuh 1974;
spezialisierter Händlerbegriff;frenarius;frenari;Arbeits- und Betriebsmittelbedarf;Zaumzeug;Händler mit Zaumzeug;Wissemann 1984;
spezialisierter Händlerbegriff;frumentarius;frumentari;Lebensmittelbedarf;Getreide;Getreidehändler / Miltärischer Beamter, betraut mit Getreideversorgung;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;frumentator;frumentator;Lebensmittelbedarf;Getreide;Getreidehändler;Wissemann 1984;
spezialisierter Händlerbegriff;gallicarius;gallicari;Kleidungs- und Schutzbedarf;Sandalen;Händler und/ oder Hersteller mit gallischen Sandalen;Wissemann 1984;
spezialisierter Händlerbegriff;gladiarius;gladiari;Arbeits- und Betriebsmittelbedarf;Waffen;Waffenhersteller/-händler / Händler und/ oder Hersteller mit Schwertern;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;gladiatoria;gladiatoria;Bildungs- und Unterhaltungsbedarf;Gladiatoren;Händler von Gladiatoren(-truppen);Schlippschuh 1974;
spezialisierter Händlerbegriff;grutarius;grutari;Wohn- und Ausstattungsbedarf;Altwaren;Altwarenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;holearius;holeari;Lebensmittelbedarf;Gemüse;Gemüsehändler;Wissemann 1984;
spezialisierter Händlerbegriff;holitor;holitor;Lebensmittelbedarf;Gemüse;Gemüsehändler;Wissemann 1984;
spezialisierter Händlerbegriff;holosericoprata;holosericoprat;Arbeits- und Betriebsmittelbedarf;Seide;Seidenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;indusiarius;indusiari;Kleidungs- und Schutzbedarf;Händler und/ oder Hersteller mir Oberbe;Händler und/ oder Hersteller mir Oberbekleidung;Wissemann 1984;
spezialisierter Händlerbegriff;intestinarii;intestinari;Wohn- und Ausstattungsbedarf;Innenausstattung/Möbel;Vertrieb für gebräuchliche Materialien in Innenausstattung und Möbeln;Schlippschuh 1974;
spezialisierter Händlerbegriff;lactarius;lactari;Lebensmittelbedarf;Milch;Milchhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lactucarius;lactucari;Arbeits- und Betriebsmittelbedarf;spezialisierter Han ip;Lattichhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lanarius;lanari;Arbeits- und Betriebsmittelbedarf;Wolle;Wollhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lanius;lani;Lebensmittelbedarf;Fleisch;Metzger/Fleischwarenhändler, Tätigkeit als Händler im nahen Umfeld.;Schlippschuh 1974;
spezialisierter Händlerbegriff;lapidarius;lapidari;Wohn- und Ausstattungsbedarf;Stein;Händler von ungearbeiteten Steinen hoher Qualität;Schlippschuh 1974;
spezialisierter Händlerbegriff;lardarius;lardari;Lebensmittelbedarf;spezialisierter Hps ip;Speckhändler, Händler von gepökeltem Schweinefleisch / Speckhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;laudecenarius;laudecenari;Lebensmittelbedarf;Feinkosthändler;Feinkosthändler? Genussmittelhändler, keine Übersetzung gefunden!;Schlippschuh 1974;
spezialisierter Händlerbegriff;lectarius;lectari;Wohn- und Ausstattungsbedarf;spezialisierter Han ip;Händler und/ oder Hersteller mit Betten;Wissemann 1984;
spezialisierter Händlerbegriff;leguminarius;leguminari;Lebensmittelbedarf;Gemüse;Händler für Gemüse/Hülsenfrüchten / Hülsenfruchthändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;lentiarius;lentiari;Lebensmittelbedarf;Linsen;Linsenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;libarius;libari;Lebensmittelbedarf;Gebäck;Kuchenverkäufer;Wissemann 1984;
spezialisierter Händlerbegriff;libellio;libelli;Bildungs- und Unterhaltungsbedarf;Bücher;Buchhändler;Wissemann 1984;
spezialisierter Händlerbegriff;libitinarius;libitinari;Arbeits- und Betriebsmittelbedarf;Bestattungsgeräte;Händler mit Bestattungsgerät;Wissemann 1984;
spezialisierter Händlerbegriff;librarius;librari;Bildungs- und Unterhaltungsbedarf;Bücher;Buchhändler, -verkäufer, Schreiber, Kopist von Büchern;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;lignarius;lignari;Wohn- und Ausstattungsbedarf;Holz;Holzhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;limbularius;limbulari;Arbeits- und Betriebsmittelbedarf;Bordüren;Händler und/ oder Hersteller mit Bordüren;Wissemann 1984;
spezialisierter Händlerbegriff;linarius;linari;Kleidungs- und Schutzbedarf;Leinen;Leinweber, Leinenstoffhändler / Händler und/ oder Hersteller mit Leinen;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;linteaminarius;linteaminari;Kleidungs- und Schutzbedarf;Leinen;Leinwandhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lintearius;linteari;Kleidungs- und Schutzbedarf;Leinen;Leinwandhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lintiarius;lintiari;Kleidungs- und Schutzbedarf;Leinen;Leinenstoffhändler;Schlippschuh 1974;
spezialisierter Händlerbegriff;liquaminarius;liquaminari;Lebensmittelbedarf;Fischsauce;Händler mit Fischsauce;Wissemann 1984;
spezialisierter Händlerbegriff;locularius;loculari;Wohn- und Ausstattungsbedarf;Kästchen;Händler und/ oder Hersteller mit Kästchen;Wissemann 1984;
spezialisierter Händlerbegriff;lomentarius;lomentari;Schmuck- und Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;lupinarii;lupinari;Lebensmittelbedarf;Hülsenfrüchte;Hülsenfruchthändler;Wissemann 1984;
spezialisierter Händlerbegriff;macellarius;macellari;Lebensmittelbedarf;Fleisch;Fleischwarenhändler (Fleisch v. Haustiere, Geflügel, Wild, Fisch verkauft), in macella abseits Forums, Tiere geschlachtet, aber nicht zerlegt oder verändert, bloßer Weiterverkauf / Fleischwarenhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;manceps;mancep;Arbeits- und Betriebsmittelbedarf;Sklaven;Käufer, Pächter stattlicher Gütern, Unternehmer öffentlicher Arbeiten;Schlippschuh 1974;
